temperature,humidity,soil_moisture,rain/rain_probability,crop,crop_stage,yield,market_demand,price
31.2,61.7,52.9,28.4,Tapioca,Root Initiation,10800,3691,27.66
35.2,68.7,44.1,12.7,Bitter Gourd,Harvest,14827,8558,60.4
34.6,86.3,59.4,32.6,Potato,Tuber Initiation,7327,5327,25.31
36.2,94.2,47.3,19.8,Chilli,Flowering,3600,1512,76.12
31.1,76.3,54.1,26.6,Coriander,Leaf Expansion,1530,1525,105.78
31.1,65.6,33.7,5.5,Cauliflower,Harvest,19691,20381,30.15
35.5,69.7,53.7,14.9,Tomato,Vegetative,11400,9251,33.17
32.8,74.6,47.3,7.7,Potato,Tuber Initiation,5700,5451,28.87
32.1,63.1,44.3,0.0,Banana,Flowering,66195,55175,31.63
32.9,75.1,51.5,26.1,Potato,Vegetative,6845,7431,28.33
32.6,63.5,31.4,14.8,Pumpkin,Vegetative,9713,5107,28.92
30.8,60.4,46.9,0.0,Chilli,Fruiting,5054,3808,65.81
37.9,67.8,42.1,18.9,Brinjal,Vegetative,14923,15128,27.35
34.1,60.8,43.8,7.2,Coriander,Leaf Expansion,1651,915,168.21
30.8,60.9,48.5,31.5,Onion,Bulb Development,5400,3522,40.25
32.1,59.4,35.0,30.8,Pumpkin,Maturity,30193,19927,16.88
33.9,67.2,36.5,23.7,Coriander,Seed Maturity,1635,884,178.99
34.2,65.9,38.4,11.5,Bitter Gourd,Harvest,17272,11918,43.54
31.4,69.3,44.8,5.8,Cauliflower,Harvest,10733,4707,45.26
32.3,76.0,46.6,16.4,Onion,Vegetative,5400,4809,33.33
32.5,81.5,57.9,14.8,Coriander,Leaf Expansion,1338,1725,83.53
30.9,97.0,49.3,25.2,Potato,Maturity,10614,11576,29.03
37.2,70.7,41.9,0.0,Chilli,Flowering,6833,6497,50.41
30.6,72.7,44.8,11.9,Drumstick,Flowering,20819,12644,64.67
35.2,75.8,42.1,30.4,Tomato,Seedling,11400,5051,41.24
33.2,85.1,55.8,39.1,Cauliflower,Curd Initiation,14282,9496,44.94
34.2,70.9,39.8,16.3,Onion,Bulb Development,5807,5471,25.37
31.3,68.2,51.7,19.1,Brinjal,Flowering,18526,5840,47.77
27.8,79.2,55.8,19.4,Coriander,Seed Maturity,2298,952,116.89
36.2,69.4,42.0,15.0,Pumpkin,Vegetative,9600,8821,17.53
33.1,68.5,38.8,36.3,Chilli,Seedling,4180,4620,65.26
34.6,63.0,27.7,8.0,Drumstick,Pod Development,17348,19505,50.48
34.4,81.0,44.6,4.9,Potato,Tuber Initiation,5700,5147,28.42
27.6,60.3,39.7,0.0,Brinjal,Flowering,17955,19474,34.0
32.9,58.7,44.7,17.8,Coriander,Flowering,1558,1224,119.25
33.5,55.4,24.0,1.2,Drumstick,Pod Development,22979,9903,62.42
26.3,66.5,45.1,17.9,Tomato,Vegetative,15232,11338,37.62
29.8,70.1,51.8,15.0,Onion,Bulb Enlargement,9164,5263,30.46
29.7,87.4,62.1,28.6,Coriander,Vegetative,1050,572,140.96
31.2,71.6,48.7,18.0,Coriander,Seed Maturity,2172,1681,156.82
35.8,54.0,44.9,0.0,Drumstick,Flowering,13682,13038,51.71
28.1,68.0,51.9,34.5,Tomato,Seedling,13875,9477,48.06
31.8,67.7,37.1,40.1,Potato,Tuber Initiation,5700,3938,30.68
30.5,68.4,42.9,7.4,Pumpkin,Maturity,20781,14613,25.81
32.8,67.8,44.7,19.3,Coriander,Seed Maturity,1225,1364,113.98
30.1,69.8,40.2,7.1,Potato,Tuber Initiation,8783,5695,39.78
30.4,68.5,42.2,0.1,Tomato,Vegetative,21775,10589,39.54
35.8,74.9,56.8,13.0,Tomato,Vegetative,11400,8946,31.9
32.7,56.0,29.9,0.0,Banana,Bunch Development,49234,43677,27.32
28.0,58.4,38.3,9.2,Coriander,Vegetative,1620,852,99.67
31.4,62.2,41.1,16.7,Tomato,Fruiting,23620,23746,28.76
31.3,71.7,62.0,7.6,Tomato,Maturity,24083,16800,52.61
27.5,73.3,48.6,20.5,Drumstick,Pod Development,15568,6008,71.76
27.6,70.3,55.3,0.0,Onion,Bulb Enlargement,10236,4954,37.6
29.4,66.9,45.9,22.8,Drumstick,Flowering,11865,8345,55.77
32.9,80.0,45.0,31.1,Pumpkin,Flowering,9892,4324,30.53
30.8,54.8,38.5,2.7,Drumstick,Vegetative,9994,5937,90.38
29.4,69.3,39.3,23.5,Pumpkin,Flowering,20413,15866,20.55
30.5,78.5,41.2,11.8,Brinjal,Fruiting,25392,17052,43.33
35.5,72.3,39.3,10.2,Cauliflower,Vegetative,8400,3720,47.84
33.6,82.4,53.6,24.2,Onion,Nursery,5400,4272,35.08
35.5,77.6,38.6,15.3,Tomato,Fruiting,21970,12771,57.71
31.0,73.4,49.8,26.4,Banana,Bunch Development,54118,48214,38.42
35.1,93.2,53.2,14.0,Tapioca,Tuber Bulking,16748,16789,22.63
32.5,62.0,55.1,16.8,Potato,Vegetative,6242,6594,30.13
31.3,77.5,52.6,10.9,Coriander,Vegetative,1183,752,133.99
33.9,73.7,55.4,21.5,Onion,Bulb Development,7309,9317,24.63
26.4,85.3,55.9,6.8,Potato,Vegetative,5700,2604,36.21
30.5,60.8,48.5,31.9,Brinjal,Vegetative,15067,8906,51.93
29.5,63.8,52.8,25.3,Coriander,Flowering,1050,652,140.52
31.6,61.0,46.4,0.0,Bitter Gourd,Flowering,13147,5358,60.34
35.4,84.4,53.0,7.2,Pumpkin,Maturity,19288,24921,15.95
31.4,81.9,56.1,17.2,Potato,Tuber Initiation,9225,5180,48.27
29.6,65.8,47.3,9.5,Drumstick,Pod Development,16393,13737,47.7
28.6,72.2,44.0,36.4,Pumpkin,Maturity,24465,27881,19.98
33.2,70.6,42.6,0.0,Pumpkin,Maturity,16380,13222,23.57
29.8,57.7,33.3,14.9,Tapioca,Tuber Bulking,20502,18694,20.39
28.9,69.5,39.5,26.6,Pumpkin,Flowering,14544,7305,26.54
30.5,64.0,43.3,0.0,Coriander,Vegetative,1221,883,176.23
29.4,77.5,64.5,18.0,Banana,Vegetative,29226,23011,35.46
26.7,78.5,44.7,26.8,Coriander,Vegetative,1163,796,148.85
29.8,70.2,48.9,13.5,Tapioca,Tuber Bulking,18867,15792,17.51
35.4,76.6,47.7,27.6,Cauliflower,Curd Development,14570,22239,22.95
28.3,70.8,45.4,17.7,Tomato,Vegetative,14629,10209,38.99
31.8,73.5,38.1,16.9,Chilli,Flowering,5895,4033,62.24
33.3,58.8,39.3,0.0,Drumstick,Vegetative,8400,8935,42.36
28.4,64.7,57.5,21.0,Pumpkin,Flowering,15721,10709,31.84
34.6,64.6,27.5,28.1,Banana,Flowering,44878,39797,22.88
29.5,58.2,40.9,19.2,Bitter Gourd,Fruiting,14902,14250,36.84
37.9,74.6,44.4,10.3,Banana,Flowering,27000,26582,24.48
34.4,73.6,50.7,2.7,Onion,Maturity,8833,7155,30.83
32.4,60.0,45.3,32.9,Pumpkin,Fruit Development,21836,9420,36.7
34.6,55.5,31.9,18.8,Chilli,Vegetative,3600,2045,62.2
36.8,76.8,56.3,23.7,Cauliflower,Harvest,15606,12302,34.17
30.9,80.1,57.7,32.7,Pumpkin,Maturity,9600,10181,16.16
34.0,81.0,48.2,5.0,Banana,Vegetative,28125,30108,23.74
33.3,75.7,55.6,22.6,Tomato,Maturity,22849,9074,42.63
28.2,75.7,62.0,15.9,Brinjal,Seedling,12600,12701,48.95
32.4,56.7,35.1,7.9,Potato,Tuber Bulking,8815,8041,32.58
31.1,83.1,47.1,45.3,Coriander,Flowering,1050,771,131.9
33.1,54.3,49.4,9.7,Tapioca,Tuber Bulking,19884,11171,25.9
32.3,79.7,52.2,22.7,Potato,Tuber Initiation,5849,4358,31.07
30.6,59.9,47.5,8.7,Banana,Bunch Development,51913,34563,44.02
34.9,74.1,46.3,4.0,Banana,Flowering,36277,27672,40.25
34.0,49.9,46.0,30.2,Chilli,Seedling,3794,3035,69.45
32.7,71.8,53.0,14.6,Potato,Tuber Initiation,7173,3277,33.82
29.8,72.9,38.6,6.5,Cauliflower,Seedling,9074,5041,44.02
34.6,86.1,46.4,9.4,Potato,Tuber Initiation,7536,5849,24.47
34.4,60.2,40.5,0.0,Tapioca,Vegetative,12909,21005,15.36
32.1,53.8,33.4,4.4,Brinjal,Seedling,12600,5019,48.9
33.0,62.3,43.8,30.2,Tomato,Fruiting,18672,16610,30.84
33.9,80.2,44.1,19.2,Onion,Bulb Enlargement,10585,6930,37.27
33.5,80.2,44.3,39.1,Bitter Gourd,Fruiting,9101,4611,59.54
31.0,75.1,32.3,0.0,Coriander,Leaf Expansion,1064,626,241.34
34.5,69.8,55.6,40.6,Bitter Gourd,Harvest,15674,18421,39.24
35.5,56.9,35.6,0.0,Tapioca,Root Initiation,14235,17818,11.19
31.3,80.5,53.3,29.3,Drumstick,Vegetative,8400,9233,46.5
36.6,87.1,38.8,18.0,Bitter Gourd,Fruiting,17281,7059,42.56
32.7,70.0,38.6,0.1,Banana,Bunch Development,56160,41499,25.28
29.9,66.1,44.6,9.5,Onion,Nursery,5400,4824,31.64
34.8,87.3,32.5,25.8,Bitter Gourd,Fruiting,13705,6368,45.7
31.7,58.9,39.3,0.0,Potato,Tuber Initiation,5700,4327,39.93
28.7,66.8,41.3,17.6,Drumstick,Harvest,22269,24114,45.83
30.5,70.0,45.5,26.2,Cauliflower,Seedling,8400,5089,53.61
35.5,77.6,38.2,9.0,Coriander,Leaf Expansion,1050,698,129.76
33.9,74.4,37.1,15.6,Potato,Tuber Initiation,7788,4774,32.69
35.7,90.7,47.8,14.4,Banana,Flowering,38996,40501,25.87
30.2,73.4,46.7,14.8,Drumstick,Flowering,17963,10755,49.19
28.5,55.1,47.8,44.2,Drumstick,Harvest,29152,11222,61.16
27.5,59.7,44.4,29.0,Onion,Bulb Enlargement,16963,9663,37.14
30.2,62.2,46.2,8.0,Tapioca,Maturity,21584,12790,19.83
33.0,70.1,48.9,16.4,Onion,Maturity,12650,9116,24.35
30.7,67.1,52.4,0.0,Coriander,Leaf Expansion,1083,671,143.8
33.9,59.4,37.5,0.0,Drumstick,Vegetative,13227,5917,81.14
32.8,71.5,34.9,0.9,Bitter Gourd,Flowering,16480,11047,50.92
30.1,45.4,34.1,6.0,Tapioca,Vegetative,18840,8215,24.92
31.5,89.1,35.3,28.4,Cauliflower,Curd Initiation,18662,19559,32.16
34.4,47.4,39.2,0.0,Chilli,Flowering,3600,1926,63.77
30.8,55.4,49.5,0.0,Potato,Vegetative,7508,8634,26.03
25.6,68.4,50.8,36.3,Bitter Gourd,Fruiting,18601,13389,55.31
35.0,60.5,34.9,15.6,Banana,Vegetative,34537,35181,19.96
32.0,70.6,38.6,14.2,Banana,Bunch Development,56087,55127,32.77
36.1,73.2,44.6,4.4,Drumstick,Flowering,11126,9318,62.36
34.1,81.4,45.0,18.2,Pumpkin,Fruit Development,22646,21269,23.2
29.0,69.7,51.5,4.3,Tomato,Flowering,13877,8693,37.48
31.6,76.3,42.1,4.2,Drumstick,Pod Development,16182,11343,61.21
34.0,82.1,39.1,23.0,Tapioca,Vegetative,10800,12283,15.12
33.0,79.2,34.6,26.7,Tomato,Vegetative,14396,11212,44.25
34.1,64.8,38.3,19.2,Banana,Bunch Development,86726,35915,33.39
33.3,70.5,48.3,0.0,Pumpkin,Fruit Development,17118,19012,17.8
29.0,85.1,53.9,18.6,Tapioca,Tuber Bulking,15907,6358,30.5
31.8,62.8,52.9,0.0,Brinjal,Flowering,16008,8617,53.17
31.5,68.4,46.5,21.4,Potato,Tuber Initiation,10063,11961,22.15
32.5,59.8,46.3,15.1,Pumpkin,Maturity,21374,15537,22.37
32.4,71.9,52.6,0.0,Pumpkin,Fruit Development,9600,4266,28.86
35.8,72.6,45.3,34.6,Cauliflower,Curd Development,13091,6270,49.1
25.7,66.9,59.7,0.0,Cauliflower,Curd Development,15803,7926,62.26
26.6,65.6,46.8,15.6,Drumstick,Pod Development,20878,16096,45.47
34.8,80.1,64.5,45.2,Onion,Bulb Enlargement,10887,8861,27.99
34.0,77.1,44.6,0.0,Potato,Tuber Initiation,8016,7820,24.54
36.4,66.8,47.2,1.4,Banana,Maturity,57813,53375,30.19
27.5,62.8,49.9,25.8,Brinjal,Harvest,31436,12923,58.86
